year,adm3,adm2,adm1,firms,sales,d-labour,d-wage,d-labourmonth,d-labourfem,d-wagefem,d-labourmonthfem,d-labourmale,d-wagemale,d-labourmonthmale,nd-labour,nd-wage,nd-labourmonth,nd-labourfem,nd-wagefem,nd-labourmonthfem,nd-labourmale,nd-wagemale,nd-labourmonthmale,asdf_id,totallabour,totalwage,totallabourfem,totalwagefem,totallabourmale,totalwagemale,lnsales,logsales,lntotalwage,lntotalwagefem,lngtotalwagemale,logtotalwage,logtotalwagefem,logtotalwagemale,rank,adm1_adm3
2021,Las Condes,Santiago,Metropolitana,53587,359397472.7,218514,52477778.18,121307.61,87357,17121060.71,49294.395,131820,35416580.85,72004.466,173688,14804567.01,47040.273,81090,6104174.434,22600.722,92598,8700214.597,24438.8,155,392202,67282345.19,168447,23225235.14,224418,44116795.45,19.6999395,8.555575019,18.02440843,16.96074997,12.32126566,7.827901121,7.36596012,7.644603959,1,Metropolitana - Las Condes
2021,Providencia,Santiago,Metropolitana,49903,277323639.9,271390,49735135.72,146476.763,112376,18179053.45,62577.388,158245,31582596.35,83889.624,216182,16030980.06,58700.759,100212,6748876.724,27977.299,115970,9281484.935,30721.459,81,487572,65766115.78,212588,24927930.17,274215,40864081.29,19.44069576,8.442986892,18.00161531,17.03149943,12.52166775,7.818002193,7.396686219,7.611341739,2,Metropolitana - Providencia
2021,Santiago,Santiago,Metropolitana,59554,275157394.5,388369,95051074.27,262284.092,187836,46774062.23,136947.302,200473,48360889.52,125327.789,156052,14928322.16,50794.281,74472,6394671.446,24241.308,81580,8532599.207,26552.556,109,544421,109979396.4,262308,53168733.68,282053,56893488.73,19.43285384,8.439581188,18.5158036,17.78898107,12.54985028,8.041311332,7.725656317,7.755062566,3,Metropolitana - Santiago
2021,Vitacura,Santiago,Metropolitana,13824,102229016,50775,13426585.49,30788.571,20601,4743504.518,12834.162,30051,8698037.798,17954.409,56461,4434160.793,14312.896,28495,2053525.697,7407.074,27966,2380059.577,6904.74,134,107236,17860746.28,49096,6797030.215,58017,11078097.38,18.44272611,8.009574181,16.69811592,15.73199634,10.96849135,7.251899601,6.832319201,7.044465178,4,Metropolitana - Vitacura
2021,Concepcion,Concepcion,Biobio,20684,83829146.95,105320,15137738.63,61299.641,39862,6462934.165,25591.824,65551,8707484.197,35706.15,49943,3811505.475,16319.15,24272,1841335.984,8788.742,25671,1970169.463,7530.408,94,155263,18949244.11,64134,8304270.149,91222,10677653.66,18.24429132,7.923395047,16.7572746,15.93228042,11.42105138,7.277591891,6.919301469,7.02847583,5,Biobio - Concepcion
2021,Antofagasta,Antofagasta,Antofagasta,20224,80337474.65,87103,16857529.12,52938.23,33931,7636219.427,23590.827,53159,9244301.865,29343.236,36783,3666502.619,13584.571,17669,1746628.846,7139.41,19114,1919801.159,6444.494,227,123886,20524031.74,51600,9382848.273,72273,11164103.02,18.20174675,7.904918176,16.83710704,16.05439393,11.18820589,7.312262678,6.972334694,7.047823836,6,Antofagasta - Antofagasta
2021,Vina del Mar,Valparaiso,Valparaiso,22585,77321234.91,84837,10678882.09,47591.478,30854,3930113.039,18723.243,54230,6788197.944,28867.736,41174,3091217.911,14852.32,19436,1367339.067,7545.494,21738,1723878.854,7306.826,201,126011,13770100,50290,5297452.106,75968,8512076.798,18.16347918,7.888298782,16.43801013,15.48273653,11.23806748,7.138937094,6.724067039,6.930035533,7,Valparaiso - Vina del Mar
2021,Lo Barnechea,Santiago,Metropolitana,10692,71766863.46,26731,6119174.811,15683.827,11253,2344621.995,6743.58,15635,3794308.389,8939.497,24075,2426172.572,7015.076,11485,1094657.976,3487.413,12590,1330242.688,3526.578,156,50806,8545347.383,22738,3439279.971,28225,5124551.077,18.08893342,7.855923966,15.96089753,15.0507727,10.24796339,6.931729722,6.536467531,6.709655826,8,Metropolitana - Lo Barnechea
2021,Puerto Montt,Llanquihue,Los Lagos,18055,66249200.9,84783,13000643.69,47871.645,28708,5267646.66,18336.327,55900,7740678.135,29533.985,27859,2154672.712,10398.407,12453,1046302.086,5180.329,15406,1108370.624,5218.079,164,112642,15155316.4,41161,6313948.746,71306,8849048.759,18.00893396,7.821180644,16.53386195,15.65827183,11.17473575,7.180565008,6.800301052,6.946896588,9,Los Lagos - Puerto Montt
2021,Iquique,Iquique,Tarapaca,12630,65321423.05,44994,4180902.71,25526.155,16008,1499720.824,9900.913,29009,2696125.575,15624.992,19435,1788801.933,7502.078,8897,807503.113,3563.33,10538,981298.838,3938.746,256,64429,5969704.643,24905,2307223.937,39547,3677424.413,17.99483061,7.815055637,15.60220801,14.6515556,10.58524512,6.775952845,6.363089749,6.565543755,10,Tarapaca - Iquique
2021,nunoa,Santiago,Metropolitana,15744,63931052.33,71559,10585501.24,40580.315,28365,3985536.953,17039.91,42977,6608241.24,23538.239,49498,3305286.996,13565.149,23581,1435092.637,6581.993,25917,1870134.982,6982.991,171,121057,13890788.24,51946,5420629.59,68894,8478376.222,17.97331575,7.805711853,16.44673646,15.50572253,11.14032437,7.142726891,6.734049731,6.928312684,11,Metropolitana - nunoa
2021,Temuco,Cautin,La Araucania,19197,63710517.99,88419,13121537.8,51772.479,34396,6015001.823,22473.41,53818,7127972.808,29298.903,32238,2510899.806,11643.989,14820,1175066.789,5569.495,17418,1335832.997,6074.495,13,120657,15632437.61,49216,7190068.612,71236,8463805.805,17.96986022,7.804211136,16.56485865,15.78821127,11.17375359,7.194026704,6.856733035,6.92756569,12,La Araucania - Temuco
2021,Recoleta,Santiago,Metropolitana,11030,62023963.01,39182,7036964.317,25887.991,15862,3030080.862,11308.08,23160,4006515.714,14578.495,20012,1646722.648,7173.744,8951,706398.243,3400.497,11061,940064.197,3773.163,189,59194,8683686.965,24813,3736479.105,34221,4946579.911,17.94303137,7.792559512,15.97695676,15.13365431,10.44059477,6.938704159,6.572462558,6.694305029,13,Metropolitana - Recoleta
2021,Maipu,Santiago,Metropolitana,21991,57206380.72,60844,7709923.241,34419.651,20442,2931500.561,12470.245,40322,4786477.74,21948.239,26047,2620414.161,10856.242,12620,1262449.507,5657.829,13427,1357903.538,5198.163,170,86891,10330337.4,33062,4193950.068,53749,6144381.278,17.862176,7.757444472,16.1505955,15.24915358,10.89208034,7.014114506,6.622623256,6.788478157,14,Metropolitana - Maipu
2021,Quilicura,Santiago,Metropolitana,9356,49813745.69,35558,5853801.584,20934.157,9748,1521489.491,6013.831,25743,4334410.125,14920.327,15679,1033440.302,5276.829,6532,396734.236,2437.581,9147,636654.252,2838.83,184,51237,6887241.886,16280,1918223.727,34890,4971064.377,17.72380152,7.697349199,15.74518126,14.46691017,10.45995553,6.838045336,6.282899259,6.696449387,15,Metropolitana - Quilicura
2021,San Bernardo,Maipo,Metropolitana,12750,48282948.32,53548,8632576.482,33035.071,17955,3491220.894,12153.996,35619,5152838.425,20880.825,17315,1672765.995,7076.828,7580,716781.118,3372.998,9735,955984.897,3703.83,125,70863,10305342.48,25535,4208002.012,45354,6108823.322,17.69258902,7.683793782,16.14817301,15.25249851,10.72225365,7.013062429,6.624075939,6.785957565,16,Metropolitana - San Bernardo
2021,Los angeles,Biobio,Biobio,13407,46632129.75,57354,7739283.924,32006.402,22365,3236011.02,12555.578,34912,4513332.591,19450.824,17361,1394985.402,7066.411,8557,688736.872,3812.331,8804,706243.835,3253.997,76,74715,9134269.326,30922,3924747.892,43716,5219576.426,17.65780034,7.668685251,16.02754376,15.18281268,10.68546945,6.960673813,6.593811765,6.717635261,17,Biobio - Los angeles
2021,La Florida,Santiago,Metropolitana,16348,46042078.17,50211,7476875.837,30220.072,19425,3372226.237,13094.83,30465,4112926.676,17125.242,23799,1911488.337,8888.742,11350,857960.304,4507.83,12449,1053360.271,4380.83,144,74010,9388364.174,30775,4230186.541,42914,5166286.947,17.64506628,7.663154918,16.05498163,15.25775665,10.66695339,6.972589928,6.626359519,6.713178524,18,Metropolitana - La Florida
2021,Talca,Talca,Maule,15526,45460937.78,60573,8940926.664,36541.403,22358,3895092.714,14989.412,38170,5056075.685,21551.991,27499,2324140.392,10472.824,12825,1023198.908,5074.579,14674,1300941.483,5398.245,107,88072,11265067.06,35183,4918291.622,52844,6357017.168,17.632364,7.65763839,16.23721708,15.4084718,10.87509946,7.051733781,6.691814276,6.803253384,19,Maule - Talca
2021,Curico,Curico,Maule,12129,44206906.71,64164,5815581.876,29262.732,23212,2321454.492,11025.16,40920,3501644.158,18237.238,15808,1022834.845,6104.828,7691,485412.737,3437.414,8117,537422.107,2667.414,303,79972,6838416.721,30903,2806867.229,49037,4039066.265,17.6043916,7.645490127,15.73806679,14.84757955,10.80033039,6.834955562,6.44822187,6.606280978,20,Maule - Curico
