asdf_id,shapeName,viirs_ntl_annual_v20_avg_masked.2020.sum,lnviirs_ntl,logviirs_ntl
0,Marchigüe,535.05,6.28,2.73
1,Codegua,1300.52,7.17,3.11
2,Coinco,702.66,6.55,2.85
3,Coltauco,1161.24,7.06,3.06
4,Cholchol,174.52,5.16,2.24
5,Cunco,388.66,5.96,2.59
6,Freire,920.04,6.82,2.96
7,Galvarino,148.90,5.00,2.17
8,Graneros,1841.92,7.52,3.27
9,Malloa,1182.78,7.08,3.07
10,Nueva Imperial,632.23,6.45,2.80
11,Perquenco,400.62,5.99,2.60
12,Pitrufquén,696.73,6.55,2.84
13,Temuco,10736.28,9.28,4.03
14,Teodoro Schmidt,272.19,5.61,2.43
15,Vilcún,907.66,6.81,2.96
16,Angol,2285.94,7.73,3.36
17,Collipulli,2010.86,7.61,3.30
18,Curacautín,705.21,6.56,2.85
19,Ercilla,500.33,6.22,2.70
20,Los Sauces,352.93,5.87,2.55
21,Lumaco,311.42,5.74,2.49
22,Purén,323.56,5.78,2.51
23,Renaico,461.57,6.13,2.66
24,Traiguén,713.72,6.57,2.85
25,Victoria,1493.58,7.31,3.17
26,San Joaquín,4177.36,8.34,3.62
27,Peumo,656.04,6.49,2.82
28,Pichidegua,1173.50,7.07,3.07
29,San Pablo,470.31,6.15,2.67
30,La Unión,1589.67,7.37,3.20
31,Los Lagos,619.69,6.43,2.79
32,Máfil,244.04,5.50,2.39
33,Paillaco,749.80,6.62,2.87
34,Curepto,478.78,6.17,2.68
35,Empedrado,172.43,5.15,2.24
36,San Miguel,3405.43,8.13,3.53
37,Pencahue,553.98,6.32,2.74
38,Rancagua,15091.02,9.62,4.18
39,Requínoa,3245.63,8.09,3.51
40,Mostazal,2458.88,7.81,3.39
41,San Vicente,2484.08,7.82,3.40
42,Nancagua,1194.47,7.09,3.08
43,Peralillo,866.73,6.76,2.94
44,Placilla,684.62,6.53,2.84
45,Pumanque,288.05,5.66,2.46
46,Andacollo,1247.87,7.13,3.10
47,San Ramón,1926.98,7.56,3.28
48,Gorbea,690.69,6.54,2.84
49,Lautaro,1985.65,7.59,3.30
50,Puqueldón,117.12,4.76,2.07
51,Fresia,242.82,5.49,2.39
52,Llanquihue,765.94,6.64,2.88
53,Osorno,7412.83,8.91,3.87
54,Purranque,749.01,6.62,2.87
55,Laguna Blanca,32.94,3.49,1.52
56,Independencia,3017.01,8.01,3.48
57,Rinconada,1062.03,6.97,3.03
58,Cabildo,972.74,6.88,2.99
59,Petorca,481.99,6.18,2.68
60,La Cisterna,2544.77,7.84,3.41
61,Panquehue,694.63,6.54,2.84
62,Cañete,1015.48,6.92,3.01
63,Contulmo,164.50,5.10,2.22
64,Curanilahue,1547.28,7.34,3.19
65,Lebu,925.08,6.83,2.97
66,Los Alamos,951.41,6.86,2.98
67,Peñalolén,8144.81,9.01,3.91
68,Olmué,958.13,6.86,2.98
69,Cartagena,1427.98,7.26,3.15
70,Catemu,970.62,6.88,2.99
71,Llaillay,1874.37,7.54,3.27
72,San Felipe,4188.18,8.34,3.62
73,Santa María,1111.26,7.01,3.05
74,Villa Alemana,4716.06,8.46,3.67
75,Laja,1572.60,7.36,3.20
76,Los Angeles,12766.51,9.45,4.11
77,Mulchén,1327.22,7.19,3.12
78,Nacimiento,2214.89,7.70,3.35
79,Linares,4389.34,8.39,3.64
80,Longaví,896.99,6.80,2.95
81,Providencia,6390.01,8.76,3.81
82,Negrete,610.77,6.41,2.79
83,Quilaco,228.61,5.43,2.36
84,Quilleco,486.76,6.19,2.69
85,La Reina,4969.46,8.51,3.70
86,Río Ibáñez,248.64,5.52,2.40
87,San Rosendo,124.60,4.83,2.10
88,Tucapel,575.61,6.36,2.76
89,Calera de Tango,2521.37,7.83,3.40
90,Chile Chico,496.54,6.21,2.70
91,Torres del Paine,112.22,4.72,2.05
92,Primavera,1853.28,7.52,3.27
93,Chiguayante,3149.37,8.05,3.50
94,Concepción,10087.42,9.22,4.00
95,Coronel,9261.08,9.13,3.97
96,Florida,1144.88,7.04,3.06
97,Hualqui,1288.12,7.16,3.11
98,Lota,1232.37,7.12,3.09
99,San Pedro de la Paz,5533.43,8.62,3.74
100,Santa Juana,653.31,6.48,2.82
101,San Gregorio,1212.61,7.10,3.08
102,Porvenir,679.10,6.52,2.83
103,Camiña,123.01,4.81,2.09
104,Colchane,77.29,4.35,1.89
105,Putre,270.78,5.60,2.43
106,María Elena,4752.17,8.47,3.68
107,Talca,12180.64,9.41,4.09
108,Colina,14712.53,9.60,4.17
109,Santiago,9235.75,9.13,3.97
